ID_BUT,MINUTE_BUT,TYPE_BUT,ID_JOUEUR,ID_MATCH
1,68,tete,10,8
2,61,pied droit,10,21
3,86,pied droit,10,21
4,74,pied droit,10,45
5,91,pied droit,10,45
6,80,pied droit (Pn),10,55
7,81,pied droit,10,55
8,118,pied droit (Pn),10,55
9,10,pied gauche(Pn),507,5
10,64,pied gauche,507,22
11,35,pied gauche,507,44
12,73,pied gauche(Pn),507,50
13,34,pied gauche(Pn),507,52
14,23,pied gauche(Pn),507,55
15,108,pied gauche,507,55
16,32,pied gauche,9,8
17,71,tete,9,8
18,44,pied gauche,9,45
19,78,tete,9,51
20,67,pied droit,506,35
21,57,pied droit,506,44
22,39,pied droit,506,52
23,69,pied droit,506,52
24,71,pied gauche,62,2
25,50,pied droit,62,31
26,68,pied gauche,62,31
27,43,pied gauche,68,2
28,62,pied gauche,68,2
29,57,pied gauche,68,46
30,73,pied droit,113,14
31,62,pied droit,113,14
32,29,pied droit,113,14
33,16,pied gauche(Pn),355,1
34,31,tete,355,1
35,49,pied gauche,355,17
36,92,pied droit,84,11
37,62,pied droit,84,26
38,11,pied droit,84,39
39,84,pied doit ,216,3
40,6,pied doit,216,17
41,26,pied doit,216,29
42,27,tete,14,8
43,17,pied droit,8,51
44,5,pied gauche,21,53
45,79,pied droit,12,53
46,87,pied droit,522,22
47,46,pied doit ,518,35
48,35,pied droit,26,50
49,36,pied gauche,11,55
