ID_ENTRAINEUR,NOM_ENTRAINEUR,PRENOM_ENTRAINEUR,ANNEE_ENTRAINER,AGE_ENTRAINEUR,PHOTO_ENTRAINER,ID_EQUIPE
1,Flick,Hansi,2022,30,,1
2,Aliou,Cissé,2022,30,,2
3,Rigobert ,Song,2022,30,,3
4,Kadri,Jalel ,2022,30,,4
5,Regragui,Walid,2022,30,,5
6,Herdman,John,2022,30,,6
7,Berhalter,Gregg,2022,30,,7
8,Adenor Leonardo Bacchi,Tite,2022,30,,8
9,Scaloni,Lionel ,2022,30,,9
10,Alfaro,Gustavo ,2022,30,,10
11,Bas,Félix Sánchez ,2022,30,,11
12,Queiroz,Carlos ,2022,30,,12
13,Moriyasu,Hajime ,2022,30,,13
14,Hervé ,Renard,2022,30,,14
15,Hjulmand,Kasper ,2022,30,,15
16,Deschamps,Didier,2022,30,,16
17,Martínez,Roberto,2022,30,,17
18,Dalic,Zlatko,2022,30,,18
19,Enrique,Luis,2022,30,,19
20,Stojkovic,Dragan,2022,30,,20
21,Southgate,Gareth,2022,30,,21
22,Louis,Van Gaal,2022,30,,22
23,Yakin,Murat,2022,30,,23
24,Page,Robert,2022,30,,24
25,Michniewicz,Czeslaw,2022,30,,25
26,Arnold,Graham,2022,30,,26
27,Fernando Suárez,Luis,2022,30,,27
28,Martino,Gerardo,2022,30,,28
