ID_JOUEUR,NUMERO_JOUEUR,NOM_JOUEUR,PRENOM_JOUEUR,POSITION_JOUEUR,AGE_JOUEUR,PHOTO_JOUEUR,ID_EQUIPE
1,1,Hugo,Lloris ,Gardien,25,,16
2,2,Benjamin,Pavard ,Défenseur,25,,16
3,3,Axel,Disasi ,Défenseur,25,,16
4,4,Raphaël,Varane ,Défenseur,25,,16
5,5,Jules,Koundé ,Défenseur,25,,16
6,6,Matteo,Guendouzi ,Milieu,25,,16
7,7,Antoine,Griezmann ,Attaquant,25,,16
8,8,Aurélien,Tchouaméni ,Milieu,25,,16
9,9,Olivier,Giroud ,Attaquant,25,,16
10,10,Kylian,Mbappé ,Attaquant,25,,16
11,11,Ousmane,Dembélé ,Attaquant,25,,16
12,12,Randal,Kolo,Milieu,25,,16
13,13,Youssouf,Fofana ,Milieu,25,,16
14,14,Adrien,Rabiot ,Milieu,25,,16
15,15,Jordan,Veretout ,Milieu,25,,16
16,16,Steve,Mandanda ,Gardien,25,,16
17,17,William,Saliba ,Défenseur,25,,16
18,18,Dayot,Upamecano ,Défenseur,25,,16
19,20,Kingsley,Coman ,Attaquant,25,,16
20,21,Lucas,Hernandez ,Défenseur,25,,16
21,22,Théo,Hernandez ,Défenseur,25,,16
22,23,Alphonse,Areola ,Gardien,25,,16
23,24,Ibrahima,Konaté ,Défenseur,25,,16
24,25,Eduardo,Camavinga ,Milieu,25,,16
25,26,Marcus,Thuram ,Attaquant,25,,16
26,1,Manuel,Neuer ,Gardien,25,,1
27,2,Antonio,Rüdiger ,Défenseur,25,,1
28,3,David,Raum ,Défenseur,25,,1
29,4,Matthias,Ginter ,Défenseur,25,,1
30,5,Thilo,Kehrer ,Défenseur,25,,1
31,6,Joshua,Kimmich ,Milieu,25,,1
32,7,Kai,Havertz ,Milieu,25,,1
33,8,Leon,Goretzka ,Milieu,25,,1
34,9,Niclas,Fullkrug ,Attaquant,25,,1
35,10,Serge,Gnabry ,Milieu,25,,1
36,11,Mario,Götze ,Milieu,25,,1
37,12,Kevin,Trapp ,Gardien,25,,1
38,13,Thomas,Müller ,Attaquant,25,,1
39,14,Jamal,Musiala ,Milieu,25,,1
40,15,Niklas,Süle ,Défenseur,25,,1
41,16,Lukas,Klostermann,Défenseur,25,,1
42,17,Julian,Brandt,Milieu,25,,1
43,18,Jonas,Hofmann,Milieu,25,,1
44,19,Leroy,Sané,Attaquant,25,,1
45,20,Christian,Günter,Défenseur,25,,1
46,21,Ilkay,Gündogan,Milieu,25,,1
47,22,Marc-André,TerStegen,Gardien,25,,1
48,23,Nico,Schlotterbeck,Défenseur,25,,1
49,24,Karim,Adeyemi,Attaquant,25,,1
50,25,Armel,Bella-Kotchap,Défenseur,25,,1
51,26,Youssoufa,Moukoko,Attaquant,25,,1
52,1,Jordan,Pickford,Gardien,25,,21
53,2,Kyle,Walker,Défenseur,25,,21
54,3,Luke,Shaw,Défenseur,25,,21
55,4,Declan,Rice,Milieu,25,,21
56,5,John,Stones,Défenseur,25,,21
57,6,Harry,Maguire,Défenseur,25,,21
58,7,Jack,Grealish,Milieu,25,,21
59,8,Jordan,Henderson,Milieu,25,,21
60,9,Harry,Kane,Attaquant,25,,21
61,10,Raheem,Sterling,Attaquant,25,,21
62,11,Marcus,Rashford,Attaquant,25,,21
63,12,Kieran,Trippier,Défenseur,25,,21
64,13,Nick,Pope,Gardien,25,,21
65,14,Kalvin,Phillips,Milieu,25,,21
66,15,Eric,Dier,Défenseur,25,,21
